uid,financial_application_rk,retro_date,logit_default,logit_grace03
1695321,64216890,2015-05-25,-1.84864,-1.081919
1685798,71147735,2015-10-15,-1.533191,-0.764914
2094491,72653647,2015-11-16,-2.266293,-1.650095
1612535,73576110,2015-12-08,-1.266657,-0.007708
1875633,67560204,2015-08-18,-3.129889,0.217554
2021175,63370089,2015-04-27,-3.192588,-0.682462
2026906,70920180,2015-10-11,-3.022323,-1.106298
1756720,64380135,2015-05-31,-2.18887,-0.939069
1919662,66417218,2015-07-21,,-0.770376
306215,68787183,2015-09-14,-1.512468,-1.014257
630700,74932579,2016-01-06,-1.513495,-0.749508
962912,73975549,2015-12-17,-4.142381,-0.068371
1240291,72923929,2015-11-23,-4.595119,1.380147
191062,65450099,2015-06-30,-1.646199,-1.252975
353695,68894065,2015-09-15,-2.9028,-1.287405
266334,64170709,2015-05-24,-2.201807,-0.898323
466607,70595015,2015-10-04,-2.159931,-1.169245
1888460,74308221,2015-12-23,-2.135118,-0.659218
2279614,72242694,2015-11-08,-1.662965,-1.536807
107512,75289096,2016-01-14,-2.076854,-0.26584
1740906,71926002,2015-11-01,-1.532477,-0.589671
1362088,62622451,2015-04-05,-2.597104,-1.216432
2047174,78838010,2016-03-28,-2.843713,-1.744525
2364052,71311517,2015-10-19,-1.596096,-0.692185
1998694,73467347,2015-12-06,-4.077411,-1.054054
1462121,68401625,2015-09-06,-2.013967,-0.216103
2015116,63097452,2015-04-19,-2.754551,-0.10831
1082395,73747357,2015-12-12,-4.596707,-0.153069
2077130,69960356,2015-09-23,-2.395377,-0.823401
478182,71485851,2015-10-23,-2.592598,-0.045487
1984037,71142933,2015-10-15,-4.087373,-0.263547
167327,63328128,2015-04-26,-3.555922,0.137288
2440018,64314096,2015-05-28,-2.327299,-0.409139
2492214,76476580,2016-02-08,-3.157747,-1.114566
1044450,63645908,2015-05-06,-1.419542,0.868947
1984926,77113258,2016-02-21,-4.677499,0.117405
2088847,67523332,2015-08-17,-3.626445,-0.280783
2013555,74460219,2015-12-26,,-0.568047
2286894,66820438,2015-07-30,-1.993326,-1.325946
60161,62527987,2015-04-02,-1.203246,-1.377178
177908,62606789,2015-04-05,-1.661827,-0.281141
1268268,73986065,2015-12-17,-2.673669,-0.779686
621604,63978708,2015-05-18,-1.870525,-1.379859
313276,67848728,2015-08-24,-3.842411,0.913296
2058792,65647742,2015-07-06,-2.107654,-1.180809
2009873,64869637,2015-06-13,-2.955844,-0.826595
1304774,65224979,2015-06-24,-1.884463,-0.329914
276216,73986259,2015-12-17,-2.373613,-1.785991
47633,74036609,2015-12-18,-1.866078,-1.123229
1789075,72018868,2015-11-03,-2.593477,-0.803876
673529,63606000,2015-05-05,-2.473008,-0.013695
2245828,72628878,2015-11-16,-2.369823,-0.517409
828201,77835431,2016-03-07,-1.013074,-0.990548
1723717,64913546,2015-06-15,-1.447605,-0.370656
230742,68640041,2015-09-11,-1.485574,-0.83684
1108889,66648950,2015-07-27,-2.465482,-0.287239
1850581,59843124,2015-01-09,-2.092637,-1.303752
1320066,60514935,2015-01-28,-2.18527,0.120962
1734058,70511182,2015-10-02,-4.262228,-0.262041
627712,67831626,2015-08-24,,-1.037619
1540695,62771531,2015-04-09,-1.883113,-0.876041
656747,64345519,2015-05-29,-3.951758,-1.07862
1558840,66483832,2015-07-23,-3.004562,-0.718795
1725114,79989218,2016-04-22,-1.677034,-1.285347
1273554,62154916,2015-03-22,-2.437514,-0.859843
339594,67101454,2015-08-06,-2.18469,-0.627993
1955059,62778352,2015-04-09,-2.600298,-0.716896
50062,68470845,2015-09-07,,-0.546637
1933118,63181678,2015-04-21,-3.615519,-0.124025
318320,60986979,2015-02-11,-2.293507,-0.957001
560819,69777997,2015-09-20,-2.862668,-0.920267
46145,69807521,2015-09-21,-1.924582,-1.107809
1293046,64413689,2015-06-01,-1.088553,-1.774184
1652352,67508269,2015-08-17,-2.493015,-0.331225
720333,72249746,2015-11-08,-0.575081,-0.370656
916535,66144802,2015-07-16,-0.408794,-0.805952
50316,72217373,2015-11-08,,-1.716846
2560697,64195438,2015-05-25,-2.956911,-1.524171
536559,66873616,2015-07-31,-2.59788,-0.434313
47034,61409980,2015-02-23,-3.517803,-0.425235
1894733,64113424,2015-05-22,-2.242647,-0.9334
1967709,71312121,2015-10-19,-3.713188,-1.132768
1241140,64918489,2015-06-15,-2.91727,-1.321538
1732572,63969362,2015-05-17,-2.742986,1.874467
839728,63167487,2015-04-21,-1.275645,-0.92293
2505275,71448371,2015-10-22,-2.801199,-1.320882
1282067,70155150,2015-09-26,-4.416224,-0.924259
2010099,64537056,2015-06-04,-1.966591,-0.656047
957920,61438341,2015-02-24,-2.383305,-0.59346
2004696,72110769,2015-11-05,-3.443814,-0.377407
526538,71731028,2015-10-28,-2.353117,-0.646119
2232699,61779248,2015-03-09,-2.887834,-1.083477
1032760,71894611,2015-10-31,-2.790914,-1.312512
2431004,63096702,2015-11-29,,
2197130,64447354,2015-06-02,-2.931268,-1.020124
2182594,78062571,2016-03-12,-0.57958,-1.406491
1080774,65646849,2015-07-06,-3.220491,-1.031076
557471,71344428,2015-10-20,-2.376128,-0.361825
1705355,68807284,2015-09-14,,-0.405547
1965351,63897422,2015-05-15,-1.993242,-1.777289
1604348,67139298,2015-10-22,,-1.168938
