uid,retro_date,financial_application_rk,partition,tcs_model_income
550038,2015-01-12,59946082,test,55848.312368412
550055,2015-05-07,63663363,train,30814.456924
550106,2015-01-31,60579772,train,21420.379028
550177,2015-07-13,66032229,train,89010.59791
550210,2015-05-26,64246160,train,15620.517224212
550296,2015-09-08,68504152,train,23195.27682574
550318,2015-07-22,66448516,test,62768.12364
550331,2016-02-11,76643702,out_of_time,51651.657238
550344,2015-02-15,61179560,train,12332.979028
550377,2015-03-04,61671202,train,20522.507978
550384,2015-05-02,63520258,train,26124.82836
550422,2015-08-31,68149171,test,66854.231553246
550437,2015-08-18,67560122,train,10620.63282
550443,2015-01-18,60157158,train,39826.148926354
550469,2015-09-03,68287666,train,18646.389028
550492,2015-10-21,71391228,train,75136.814714499
550497,2015-07-16,66177845,test,60000.102398583
550528,2015-03-04,61669865,test,69282.697467518
550539,2015-07-29,66780364,test,38155.731867515
550622,2015-07-23,66505145,train,12401.057898
550634,2015-06-26,65300843,test,54962.788348
550657,2015-09-15,68904324,train,49481.591836
550659,2015-10-27,71668513,train,59405.579184345
550664,2015-11-10,72361560,train,40490.760018
550717,2015-12-03,73364617,train,57425.358505999
550739,2015-09-09,68585750,train,50569.996408
550822,2016-01-17,75421472,out_of_time,16961.61740936
550849,2015-05-05,63605260,test,29498.086255146
550858,2015-03-23,62194948,train,57053.850606
550893,2015-10-18,71270777,train,29005.699238666
551071,2015-11-19,72799619,test,24249.947883222
551190,2015-08-05,67068361,train,96699.88572
551197,2016-01-08,75011811,out_of_time,24090.729998726
551260,2016-03-24,78683894,out_of_time,14184.554974023
551408,2015-02-27,61536721,train,79359.270608705
551411,2015-12-07,73527471,train,26523.593141656
551435,2015-03-17,62028625,train,45046.499559542
551490,2016-03-22,78539254,out_of_time,24537.03928
551622,2015-09-27,70172485,train,31878.009353268
551626,2015-09-17,69049157,train,38394.752534
551637,2015-08-28,68021575,test,38921.528828
551645,2015-03-10,61835932,train,29132.533868191
551664,2015-06-13,64855644,train,28083.942644
551665,2015-08-11,67282768,train,35329.011048974
551670,2015-10-21,71406559,train,28187.299920144
551750,2015-09-05,68380730,train,29523.284528
551790,2015-04-08,62741201,test,52562.931256332
551877,2015-12-14,73818151,train,81973.75517387
551965,2015-05-21,64088356,test,30352.242028
551968,2015-08-04,67003205,test,13981.613052
551985,2015-09-10,68610030,train,60662.502154246
552081,2015-06-18,65041400,train,35785.46536
552082,2015-05-13,63844529,train,23234.922092
552117,2015-12-02,73323894,train,84799.954430592
552137,2015-02-26,61499689,train,80607.802967047
552156,2016-03-22,78585205,out_of_time,28586.485346851
552233,2015-09-15,68881167,train,16848.572156
552277,2016-02-26,77347787,out_of_time,41047.102042084
552278,2015-05-08,63705371,train,36513.098339999
552283,2016-01-03,74828155,out_of_time,40417.426828
552287,2015-07-31,66847752,train,29449.276299037
552300,2015-06-28,65336510,train,20890.124074
552398,2015-02-21,61370719,train,20966.847876
552410,2015-02-17,61261767,train,47551.345046
552427,2016-01-27,75929542,out_of_time,27556.878649564
552548,2015-06-25,65258315,test,74996.934429894
552553,2015-02-28,61556310,train,26963.703154844
552606,2015-03-16,62003853,train,10000.0
552608,2015-11-30,73234301,train,40474.068586252
552647,2015-01-02,59636088,train,24324.647929693
552668,2015-03-05,61691308,test,61605.132133081
552714,2015-02-03,60699569,test,100959.794078104
552840,2015-10-15,71145315,train,21128.223227999
552916,2015-08-28,68030469,train,34501.599921126
552936,2015-12-05,73442946,train,53576.647828
552997,2015-07-19,66280940,test,75493.260294666
553002,2015-11-11,72401987,train,19689.121977987
553030,2015-04-03,62570470,train,32478.260628
553077,2015-08-18,67554362,test,17429.079516552
553130,2016-02-03,76278505,out_of_time,35267.711582575
553220,2015-09-14,68831270,train,51536.350493019
553225,2015-10-01,70454971,train,44112.318726317
553235,2015-09-16,68979091,train,68389.654213185
553282,2015-12-04,73402946,test,31071.025972323
553328,2016-03-05,77766458,out_of_time,36438.275028
553350,2015-03-07,61749139,train,51705.797028
553372,2015-08-27,67994182,test,19865.182192
